Sr_No,Expert_A_Label,Expert_B_Label,Expert_A_Round2_Label,Expert_B_Round2_Label
3313,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
1428,Esca,Esca,Esca,Esca
310,Black Rot,Black Rot,Black Rot,Black Rot
1314,Esca,Esca,Esca,Esca
3039,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
52,Black Rot,Esca,Black Rot,Esca
966,Esca,Esca,Esca,Esca
1768,Healthy,Healthy,Healthy,Healthy
2164,Healthy,Healthy,Healthy,Healthy
1511,Esca,Esca,Esca,Esca
2397,Healthy,Healthy,Healthy,Healthy
180,Black Rot,Black Rot,Black Rot,Black Rot
1075,Esca,Esca,Esca,Esca
204,Black Rot,Black Rot,Black Rot,Black Rot
2620,Healthy,Healthy,Healthy,Healthy
2645,Healthy,Healthy,Healthy,Healthy
1176,Esca,Esca,Esca,Esca
316,Black Rot,Black Rot,Black Rot,Black Rot
848,Esca,Esca,Esca,Esca
135,Black Rot,Black Rot,Black Rot,Black Rot
1689,Esca,Esca,Esca,Esca
1374,Esca,Esca,Esca,Esca
1235,Esca,Black Rot,Esca,Esca
1393,Esca,Esca,Esca,Esca
1223,Esca,Esca,Esca,Esca
1601,Esca,Esca,Esca,Esca
1819,Healthy,Healthy,Healthy,Healthy
1767,Healthy,Healthy,Healthy,Healthy
3070,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
991,Esca,Esca,Esca,Esca
2541,Healthy,Healthy,Healthy,Healthy
299,Black Rot,Black Rot,Black Rot,Black Rot
2250,Healthy,Healthy,Healthy,Healthy
2457,Healthy,Healthy,Healthy,Healthy
1738,Healthy,Healthy,Healthy,Healthy
27,Black Rot,Black Rot,Black Rot,Black Rot
677,Black Rot,Black Rot,Black Rot,Black Rot
2376,Healthy,Healthy,Healthy,Healthy
812,Esca,Esca,Esca,Esca
33,Black Rot,Black Rot,Black Rot,Black Rot
2054,Healthy,Healthy,Healthy,Healthy
1926,Healthy,Healthy,Healthy,Healthy
71,Black Rot,Black Rot,Black Rot,Black Rot
3333,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
507,Black Rot,Black Rot,Black Rot,Black Rot
597,Black Rot,Black Rot,Black Rot,Black Rot
1614,Esca,Esca,Esca,Esca
2111,Healthy,Healthy,Healthy,Healthy
2756,Healthy,Healthy,Healthy,Healthy
1583,Esca,Esca,Esca,Esca
145,Black Rot,Black Rot,Black Rot,Black Rot
3276,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
545,Black Rot,Black Rot,Black Rot,Black Rot
2154,Healthy,Healthy,Healthy,Healthy
791,Black Rot,Black Rot,Black Rot,Black Rot
502,Black Rot,Black Rot,Black Rot,Black Rot
3267,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
2383,Healthy,Healthy,Healthy,Healthy
841,Esca,Esca,Esca,Esca
2088,Healthy,Healthy,Healthy,Healthy
786,Black Rot,Black Rot,Black Rot,Black Rot
1806,Healthy,Healthy,Healthy,Healthy
2416,Healthy,Healthy,Healthy,Healthy
451,Black Rot,Black Rot,Black Rot,Black Rot
140,Black Rot,Black Rot,Black Rot,Black Rot
2047,Healthy,Healthy,Healthy,Healthy
2045,Healthy,Healthy,Healthy,Healthy
2426,Healthy,Healthy,Healthy,Healthy
3107,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
2717,Healthy,Healthy,Healthy,Healthy
2703,Healthy,Healthy,Healthy,Healthy
3428,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
3019,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
1682,Esca,Esca,Esca,Esca
3134,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
1033,Esca,Esca,Esca,Esca
2602,Healthy,Healthy,Healthy,Healthy
1484,Esca,Esca,Esca,Esca
184,Black Rot,Black Rot,Black Rot,Black Rot
1345,Esca,Esca,Esca,Esca
2500,Healthy,Healthy,Healthy,Healthy
2031,Healthy,Healthy,Healthy,Healthy
1638,Esca,Esca,Esca,Esca
2443,Healthy,Healthy,Healthy,Healthy
2413,Healthy,Healthy,Healthy,Healthy
3096,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
1737,Healthy,Healthy,Healthy,Healthy
1341,Esca,Esca,Esca,Esca
193,Black Rot,Black Rot,Black Rot,Black Rot
2067,Healthy,Healthy,Healthy,Healthy
1392,Esca,Esca,Esca,Esca
230,Black Rot,Black Rot,Black Rot,Black Rot
388,Leaf Blight,Black Rot,Leaf Blight,Black Rot
1035,Esca,Esca,Esca,Esca
2725,Healthy,Healthy,Healthy,Healthy
2338,Healthy,Healthy,Healthy,Healthy
906,Esca,Esca,Esca,Esca
53,Black Rot,Black Rot,Black Rot,Black Rot
2763,Healthy,Healthy,Healthy,Healthy
326,Black Rot,Black Rot,Black Rot,Black Rot
830,Esca,Esca,Esca,Esca
1478,Esca,Esca,Esca,Esca
2172,Healthy,Healthy,Healthy,Healthy
411,Black Rot,Black Rot,Black Rot,Black Rot
1540,Esca,Esca,Esca,Esca
1748,Healthy,Healthy,Healthy,Healthy
3310,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
928,Esca,Esca,Esca,Esca
1599,Esca,Esca,Esca,Esca
2432,Healthy,Healthy,Healthy,Healthy
77,Black Rot,Black Rot,Black Rot,Black Rot
1399,Esca,Esca,Esca,Esca
185,Black Rot,Black Rot,Black Rot,Black Rot
18,Black Rot,Black Rot,Black Rot,Black Rot
2658,Healthy,Healthy,Healthy,Healthy
692,Black Rot,Black Rot,Black Rot,Black Rot
323,Black Rot,Healthy,Black Rot,Black Rot
2437,Healthy,Healthy,Healthy,Healthy
666,Black Rot,Black Rot,Black Rot,Black Rot
3229,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
1433,Esca,Esca,Esca,Esca
898,Esca,Esca,Esca,Esca
1172,Esca,Esca,Esca,Esca
1193,Esca,Esca,Esca,Esca
315,Black Rot,Black Rot,Black Rot,Black Rot
1578,Esca,Esca,Esca,Esca
3373,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
2182,Healthy,Healthy,Healthy,Healthy
3192,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
2288,Healthy,Healthy,Healthy,Healthy
2468,Healthy,Healthy,Healthy,Healthy
1227,Esca,Esca,Esca,Esca
2248,Healthy,Healthy,Healthy,Healthy
1425,Esca,Esca,Esca,Esca
171,Black Rot,Black Rot,Black Rot,Black Rot
1625,Esca,Esca,Esca,Esca
875,Esca,Esca,Esca,Esca
1911,Healthy,Healthy,Healthy,Healthy
3461,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
839,Esca,Esca,Esca,Esca
1830,Healthy,Healthy,Healthy,Healthy
2271,Healthy,Healthy,Healthy,Healthy
31,Black Rot,Black Rot,Black Rot,Black Rot
2339,Healthy,Healthy,Healthy,Healthy
1229,Esca,Esca,Esca,Esca
300,Black Rot,Black Rot,Black Rot,Black Rot
2643,Healthy,Healthy,Healthy,Healthy
552,Black Rot,Black Rot,Black Rot,Black Rot
195,Black Rot,Black Rot,Black Rot,Black Rot
2216,Healthy,Healthy,Healthy,Healthy
3311,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
2968,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
1491,Esca,Esca,Esca,Esca
1534,Esca,Esca,Esca,Esca
1745,Healthy,Healthy,Healthy,Healthy
480,Black Rot,Black Rot,Black Rot,Black Rot
2380,Healthy,Healthy,Healthy,Healthy
