filename,width,height,filesize,brightness,sharpness,blurry_flag
GVLiD\Black rot\black rot001.jpg,1080,1080,295062,112.7026856112825,337.1591491699219,1
GVLiD\Black rot\black rot002.jpg,1080,1080,295062,112.7026856112825,337.1591491699219,1
GVLiD\Black rot\black rot003.jpg,1080,1080,295062,112.7026856112825,337.1591491699219,1
GVLiD\Black rot\black rot004.jpg,1080,1080,295062,112.7026856112825,337.1591491699219,1
GVLiD\Black rot\black rot005.jpg,1080,1080,295062,112.7026856112825,337.1591491699219,1
GVLiD\Black rot\black rot006.jpg,1080,1080,295062,112.7026856112825,337.1591491699219,1
GVLiD\Black rot\black rot007.jpg,1080,1080,295062,112.7026856112825,337.1591491699219,1
GVLiD\Black rot\black rot008.jpg,1080,1080,295062,112.7026856112825,337.1591491699219,1
GVLiD\Black rot\black rot009.jpg,1080,1080,290039,149.56040801611792,193.0774688720703,1
GVLiD\Black rot\black rot010.jpg,1080,1080,290039,149.56040801611792,193.0774688720703,1
GVLiD\Black rot\black rot011.jpg,1080,1080,290039,149.56040801611792,193.0774688720703,1
GVLiD\Black rot\black rot012.jpg,1080,1080,290039,149.56040801611792,193.0774688720703,1
GVLiD\Black rot\black rot013.jpg,1080,1080,337648,151.9523486222564,313.6741638183594,1
GVLiD\Black rot\black rot014.jpg,1080,1080,337648,151.9523486222564,313.6741638183594,1
GVLiD\Black rot\black rot015.jpg,1080,1080,337648,151.9523486222564,313.6741638183594,1
GVLiD\Black rot\black rot016.jpg,1080,1080,337648,151.9523486222564,313.6741638183594,1
GVLiD\Black rot\black rot017.jpg,1080,1080,290039,149.56040801611792,193.0774688720703,1
GVLiD\Black rot\black rot018.jpg,1080,1080,290039,149.56040801611792,193.0774688720703,1
GVLiD\Black rot\black rot019.jpg,1080,1080,337648,151.9523486222564,313.6741638183594,1
GVLiD\Black rot\black rot021.jpg,1080,1080,290039,149.56040801611792,193.0774688720703,1
GVLiD\Black rot\black rot022.jpg,1080,1080,290039,149.56040801611792,193.0774688720703,1
GVLiD\Black rot\black rot023.jpg,1080,1080,337648,151.9523486222564,313.6741638183594,1
GVLiD\Black rot\black rot024.jpg,1080,1080,337648,151.9523486222564,313.6741638183594,1
GVLiD\Black rot\black rot025.jpg,1080,1080,417610,146.6963456327161,543.5416870117188,1
GVLiD\Black rot\black rot026.jpg,1080,1080,417610,146.6963456327161,543.5416870117188,1
GVLiD\Black rot\black rot027.jpg,1080,1080,417610,146.6963456327161,543.5416870117188,1
GVLiD\Black rot\black rot028.jpg,1080,1080,417610,146.6963456327161,543.5416870117188,1
GVLiD\Black rot\black rot029.jpg,1080,1080,417610,146.6963456327161,543.5416870117188,1
GVLiD\Black rot\black rot030.jpg,1080,1080,417610,146.6963456327161,543.5416870117188,1
GVLiD\Black rot\black rot031.jpg,1080,1080,417610,146.6963456327161,543.5416870117188,1
GVLiD\Black rot\black rot032.jpg,1080,1080,417610,146.6963456327161,543.5416870117188,1
GVLiD\Black rot\black rot033.jpg,1080,1080,419021,143.44997935528116,705.08447265625,1
GVLiD\Black rot\black rot034.jpg,1080,1080,419021,143.44997935528116,705.08447265625,1
GVLiD\Black rot\black rot035.jpg,1080,1080,419021,143.44997935528116,705.08447265625,1
GVLiD\Black rot\black rot036.jpg,1080,1080,419021,143.44997935528116,705.08447265625,1
GVLiD\Black rot\black rot037.jpg,1080,1080,419021,143.44997935528116,705.08447265625,1
GVLiD\Black rot\black rot038.jpg,1080,1080,419021,143.44997935528116,705.08447265625,1
GVLiD\Black rot\black rot039.jpg,1080,1080,419021,143.44997935528116,705.08447265625,1
GVLiD\Black rot\black rot040.jpg,1080,1080,419021,143.44997935528116,705.08447265625,1
GVLiD\Black rot\black rot041.jpg,1080,1080,314801,145.96569446073389,253.12033081054688,1
GVLiD\Black rot\black rot042.jpg,1080,1080,314801,145.96569446073389,253.12033081054688,1
GVLiD\Black rot\black rot043.jpg,1080,1080,314801,145.96569446073389,253.12033081054688,1
GVLiD\Black rot\black rot044.jpg,1080,1080,314801,145.96569446073389,253.12033081054688,1
GVLiD\Black rot\black rot045.jpg,1080,1080,314801,145.96569446073389,253.12033081054688,1
GVLiD\Black rot\black rot046.jpg,1080,1080,314801,145.96569446073389,253.12033081054688,1
GVLiD\Black rot\black rot047.jpg,1080,1080,314801,145.96569446073389,253.12033081054688,1
GVLiD\Black rot\black rot048.jpg,1080,1080,314801,145.96569446073389,253.12033081054688,1
GVLiD\Black rot\black rot049.jpg,1080,1080,397254,156.28329112225651,479.30096435546875,1
GVLiD\Black rot\black rot050.jpg,1080,1080,397254,156.28329112225651,479.30096435546875,1
GVLiD\Black rot\black rot051.jpg,1080,1080,397254,156.28329112225651,479.30096435546875,1
GVLiD\Black rot\black rot052.jpg,1080,1080,397254,156.28329112225651,479.30096435546875,1
GVLiD\Black rot\black rot053.jpg,1080,1080,397254,156.28329112225651,479.30096435546875,1
GVLiD\Black rot\black rot054.jpg,1080,1080,397254,156.28329112225651,479.30096435546875,1
GVLiD\Black rot\black rot055.jpg,1080,1080,397254,156.28329112225651,479.30096435546875,1
